exposure,outcome,n,crude_beta,crude_se,crude_p,crude_ci_low,crude_ci_high,adj_beta,adj_se,adj_p,adj_ci_low,adj_ci_high,r2,adj_r2,change_pct,adj_p_fdr,adj_p_reject_fdr
Internet Usage Total Score (Weighted),Perceived Social Stress Score,71,1.1999173166338215,0.3677694833053521,0.001717704280695,0.4662372720974519,1.9335973611701915,1.7019425449523484,0.6227785192112125,0.0062794347959941,0.4813190769531856,2.922566012951511,0.2417178728059263,0.1298401819084401,41.83831847071589,0.1209862508332817,False
Obsession with Internet - Raw Score,Instrumental Support - T Score,71,-1.4884389003791787,0.42320783380946,0.000776436290354,-2.3327154280748266,-0.6441623726835308,-1.1364877740991393,0.4183773226878114,0.0065992500452398,-1.9564922585155424,-0.3164832896827364,0.2684623426511295,0.1605305571406405,-23.645654933526675,0.1209862508332817,False
Obsession with Internet - Weighted Score,Instrumental Support - T Score,71,-24.80731500631967,7.053463896824334,0.000776436290354,-38.8785904679138,-10.736039544725536,-18.941462901744856,6.97295537819154,0.0065992500454517,-32.60820430880515,-5.274721494684565,0.2684623426511299,0.1605305571406409,-23.64565493315373,0.1209862508332817,False
Internet Usage Total Score (Weighted),Emotional Support - T Score,71,-1.0501798236134057,0.2469367333958904,6.506491342323416e-05,-1.5428051277230956,-0.5575545195037158,-0.8324417080193034,0.3684369160098817,0.0238593004764506,-1.5545647939736804,-0.1103186220649263,0.3411784354980012,0.2439752538501653,-20.73341257356478,0.3280653815511968,False
Internet Usage Total Score (Weighted),Instrumental Support - T Score,71,-0.7893304988336394,0.3032009796801094,0.0112940366516911,-1.3941999031024963,-0.1844610945647823,-0.8022425070010678,0.4076853880554458,0.0490912799599919,-1.6012911846129776,-0.0031938293891581,0.2626486655398763,0.153859124390022,1.635817719764784,0.4096189897560999,False
Internet Usage Total Score (Weighted),Perceived Social Support Total T Score,71,-1.4014195433345815,0.2826593483402796,4.894285806838759e-06,-1.9653095143432215,-0.8375295723259412,-1.280595428433578,0.6523059287325723,0.0496249997311377,-2.559091555651371,-0.002099301215785,0.3509337616725781,0.2551698904439422,-8.62155201671519,0.4096189897560999,False
Obsession with Internet - Raw Score,Perceived Social Support Total T Score,71,-1.655350310237849,0.4324114099989164,0.0002807532107346,-2.517987470055244,-0.7927131504204549,-0.949981828851086,0.5042682339741347,0.0595809439629351,-1.9383294059880072,0.0383657482858352,0.2625294432793571,0.153722311959918,-42.611432578607015,0.4096189897560999,False
Obsession with Internet - Weighted Score,Perceived Social Support Total T Score,71,-27.589171837297524,7.206856833315274,0.0002807532107346,-41.96645783425409,-13.211885840340956,-15.833030480928803,8.404470566329028,0.0595809439645236,-32.30549010006065,0.6394291382030417,0.262529443279357,0.1537223119599179,-42.61143257832665,0.4096189897560999,False
Perceived Control of Internet Use - Weighted Score,Perceived Social Stress Score,71,13.557963403173176,10.66468562543343,0.2078925452779217,-7.717502288845305,34.83342909519166,17.66123665680051,11.052886399008612,0.1100686681477935,-4.002022610468977,39.32449592407,0.1182487886858058,-0.0118456523277636,30.264672735928627,0.6053776748134043,False
Perceived Control of Internet Use - Raw Score,Perceived Social Stress Score,71,0.8134778041903932,0.6398811375260053,0.2078925452779199,-0.4630501373307147,2.090005745711501,1.0596741994225434,0.6631731839497822,0.1100686681478917,-0.2401213566317859,2.359469755476873,0.1182487886858059,-0.0118456523277636,30.264672737712257,0.6053776748134043,False
