independent,dependent,test,statistic,pvalue,notes
Age (IN YEARS),Emotional Support,,0.2618149344022094,,scipy not available; using pandas corr
Age (IN YEARS),Informational Support,,0.14892547002469722,,scipy not available; using pandas corr
Age (IN YEARS),Instrumental Support,,0.18821838018812093,,scipy not available; using pandas corr
Age (IN YEARS),Perceived Social Support TOTAL SCORE,,0.2658642353986041,,scipy not available; using pandas corr
Age (IN YEARS),Emotional Support - T Score,,0.2608491763438883,,scipy not available; using pandas corr
Age (IN YEARS),Informational Support - T Score,,0.14895990409573606,,scipy not available; using pandas corr
Age (IN YEARS),Instrumental Support - T Score,,0.18838638598084276,,scipy not available; using pandas corr
Age (IN YEARS),Perceived Social Support TOTAL T SCORE,,0.26613836679544584,,scipy not available; using pandas corr
Age (IN YEARS),Emotional Support - Rank,,,,ANOVA/Kruskal failed: 'NoneType' object has no attribute 'kruskal'
Age (IN YEARS),Informational Support - Rank,,,,ANOVA/Kruskal failed: 'NoneType' object has no attribute 'kruskal'
Age (IN YEARS),Instrumental Support - Rank,,,,ANOVA/Kruskal failed: 'NoneType' object has no attribute 'kruskal'
Age (IN YEARS),TOTAL SCORE - Rank,,,,ANOVA/Kruskal failed: 'NoneType' object has no attribute 'kruskal'
Age (IN YEARS),Real Self Concept Total,,0.368656385890496,,scipy not available; using pandas corr
Age (IN YEARS),Ideal Self Concept Total,,0.1949352063231458,,scipy not available; using pandas corr
Age (IN YEARS),Social Self Concept Total,,0.3709147580211963,,scipy not available; using pandas corr
Age (IN YEARS),Real Self Concept Total.1,,0.31187244900605204,,scipy not available; using pandas corr
Age (IN YEARS),Ideal Self Concept Total.1,,0.28252995563908173,,scipy not available; using pandas corr
Age (IN YEARS),Social Self Concept Total.1,,0.3399185995340326,,scipy not available; using pandas corr
Age (IN YEARS),Real Self Concept Total.2,,0.24332492629305708,,scipy not available; using pandas corr
Age (IN YEARS),Ideal Self Concept Total.2,,0.2340222322394172,,scipy not available; using pandas corr
Age (IN YEARS),Social Self Concept Total.2,,0.2597730489700832,,scipy not available; using pandas corr
Age (IN YEARS),Real Self Concept Total.3,,0.26141405325454203,,scipy not available; using pandas corr
Age (IN YEARS),Ideal Self Concept Total.3,,0.321966482844999,,scipy not available; using pandas corr
Age (IN YEARS),Social Self Concept Total.3,,0.2980112277461649,,scipy not available; using pandas corr
Age (IN YEARS),Real Self Concept Total.4,,0.34062653243913826,,scipy not available; using pandas corr
Age (IN YEARS),Ideal Self Concept Total.4,,0.2935312340874009,,scipy not available; using pandas corr
Age (IN YEARS),Social Self Concept Total.4,,0.3559724632362958,,scipy not available; using pandas corr
Age (IN YEARS),Real Self Concept Total.5,,0.3327585997536154,,scipy not available; using pandas corr
Age (IN YEARS),Ideal Self Concept Total.5,,0.28422296805794295,,scipy not available; using pandas corr
Age (IN YEARS),Social Self Concept Total.5,,0.3527849260446143,,scipy not available; using pandas corr
Age (IN YEARS),Real Self Concept Total Category ,,,,ANOVA/Kruskal failed: 'NoneType' object has no attribute 'kruskal'
Age (IN YEARS),Ideal Self Concept Total Category,,,,ANOVA/Kruskal failed: 'NoneType' object has no attribute 'kruskal'
Age (IN YEARS),Social Self Concept Total Category ,,,,ANOVA/Kruskal failed: 'NoneType' object has no attribute 'kruskal'
Age (IN YEARS),Unnamed: 80,,-0.06623805391174159,,scipy not available; using pandas corr
Age (IN YEARS),Unnamed: 81,,,,ANOVA/Kruskal failed: 'NoneType' object has no attribute 'kruskal'
Marital Status,Emotional Support,,,,scipy not available
Marital Status,Informational Support,,,,scipy not available
Marital Status,Instrumental Support,,,,scipy not available
Marital Status,Perceived Social Support TOTAL SCORE,,,,scipy not available
Marital Status,Emotional Support - T Score,,,,scipy not available
Marital Status,Informational Support - T Score,,,,scipy not available
Marital Status,Instrumental Support - T Score,,,,scipy not available
Marital Status,Perceived Social Support TOTAL T SCORE,,,,scipy not available
Marital Status,Emotional Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Marital Status,Informational Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Marital Status,Instrumental Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Marital Status,TOTAL SCORE - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Marital Status,Real Self Concept Total,,,,scipy not available
Marital Status,Ideal Self Concept Total,,,,scipy not available
Marital Status,Social Self Concept Total,,,,scipy not available
Marital Status,Real Self Concept Total.1,,,,scipy not available
Marital Status,Ideal Self Concept Total.1,,,,scipy not available
Marital Status,Social Self Concept Total.1,,,,scipy not available
Marital Status,Real Self Concept Total.2,,,,scipy not available
Marital Status,Ideal Self Concept Total.2,,,,scipy not available
Marital Status,Social Self Concept Total.2,,,,scipy not available
Marital Status,Real Self Concept Total.3,,,,scipy not available
Marital Status,Ideal Self Concept Total.3,,,,scipy not available
Marital Status,Social Self Concept Total.3,,,,scipy not available
Marital Status,Real Self Concept Total.4,,,,scipy not available
Marital Status,Ideal Self Concept Total.4,,,,scipy not available
Marital Status,Social Self Concept Total.4,,,,scipy not available
Marital Status,Real Self Concept Total.5,,,,scipy not available
Marital Status,Ideal Self Concept Total.5,,,,scipy not available
Marital Status,Social Self Concept Total.5,,,,scipy not available
Marital Status,Real Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Marital Status,Ideal Self Concept Total Category,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Marital Status,Social Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Marital Status,Unnamed: 80,,,,scipy not available
Marital Status,Unnamed: 81,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Highest level of education completed,Emotional Support,,,,scipy not available
Highest level of education completed,Informational Support,,,,scipy not available
Highest level of education completed,Instrumental Support,,,,scipy not available
Highest level of education completed,Perceived Social Support TOTAL SCORE,,,,scipy not available
Highest level of education completed,Emotional Support - T Score,,,,scipy not available
Highest level of education completed,Informational Support - T Score,,,,scipy not available
Highest level of education completed,Instrumental Support - T Score,,,,scipy not available
Highest level of education completed,Perceived Social Support TOTAL T SCORE,,,,scipy not available
Highest level of education completed,Emotional Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Highest level of education completed,Informational Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Highest level of education completed,Instrumental Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Highest level of education completed,TOTAL SCORE - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Highest level of education completed,Real Self Concept Total,,,,scipy not available
Highest level of education completed,Ideal Self Concept Total,,,,scipy not available
Highest level of education completed,Social Self Concept Total,,,,scipy not available
Highest level of education completed,Real Self Concept Total.1,,,,scipy not available
Highest level of education completed,Ideal Self Concept Total.1,,,,scipy not available
Highest level of education completed,Social Self Concept Total.1,,,,scipy not available
Highest level of education completed,Real Self Concept Total.2,,,,scipy not available
Highest level of education completed,Ideal Self Concept Total.2,,,,scipy not available
Highest level of education completed,Social Self Concept Total.2,,,,scipy not available
Highest level of education completed,Real Self Concept Total.3,,,,scipy not available
Highest level of education completed,Ideal Self Concept Total.3,,,,scipy not available
Highest level of education completed,Social Self Concept Total.3,,,,scipy not available
Highest level of education completed,Real Self Concept Total.4,,,,scipy not available
Highest level of education completed,Ideal Self Concept Total.4,,,,scipy not available
Highest level of education completed,Social Self Concept Total.4,,,,scipy not available
Highest level of education completed,Real Self Concept Total.5,,,,scipy not available
Highest level of education completed,Ideal Self Concept Total.5,,,,scipy not available
Highest level of education completed,Social Self Concept Total.5,,,,scipy not available
Highest level of education completed,Real Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Highest level of education completed,Ideal Self Concept Total Category,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Highest level of education completed,Social Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Highest level of education completed,Unnamed: 80,,,,scipy not available
Highest level of education completed,Unnamed: 81,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Current Employment Status,Emotional Support,,,,scipy not available
Current Employment Status,Informational Support,,,,scipy not available
Current Employment Status,Instrumental Support,,,,scipy not available
Current Employment Status,Perceived Social Support TOTAL SCORE,,,,scipy not available
Current Employment Status,Emotional Support - T Score,,,,scipy not available
Current Employment Status,Informational Support - T Score,,,,scipy not available
Current Employment Status,Instrumental Support - T Score,,,,scipy not available
Current Employment Status,Perceived Social Support TOTAL T SCORE,,,,scipy not available
Current Employment Status,Emotional Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Current Employment Status,Informational Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Current Employment Status,Instrumental Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Current Employment Status,TOTAL SCORE - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Current Employment Status,Real Self Concept Total,,,,scipy not available
Current Employment Status,Ideal Self Concept Total,,,,scipy not available
Current Employment Status,Social Self Concept Total,,,,scipy not available
Current Employment Status,Real Self Concept Total.1,,,,scipy not available
Current Employment Status,Ideal Self Concept Total.1,,,,scipy not available
Current Employment Status,Social Self Concept Total.1,,,,scipy not available
Current Employment Status,Real Self Concept Total.2,,,,scipy not available
Current Employment Status,Ideal Self Concept Total.2,,,,scipy not available
Current Employment Status,Social Self Concept Total.2,,,,scipy not available
Current Employment Status,Real Self Concept Total.3,,,,scipy not available
Current Employment Status,Ideal Self Concept Total.3,,,,scipy not available
Current Employment Status,Social Self Concept Total.3,,,,scipy not available
Current Employment Status,Real Self Concept Total.4,,,,scipy not available
Current Employment Status,Ideal Self Concept Total.4,,,,scipy not available
Current Employment Status,Social Self Concept Total.4,,,,scipy not available
Current Employment Status,Real Self Concept Total.5,,,,scipy not available
Current Employment Status,Ideal Self Concept Total.5,,,,scipy not available
Current Employment Status,Social Self Concept Total.5,,,,scipy not available
Current Employment Status,Real Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Current Employment Status,Ideal Self Concept Total Category,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Current Employment Status,Social Self Concept Total Category ,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Current Employment Status,Unnamed: 80,,,,scipy not available
Current Employment Status,Unnamed: 81,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
Number of children,Emotional Support,,,,scipy not available
Number of children,Informational Support,,,,scipy not available
Number of children,Instrumental Support,,,,scipy not available
Number of children,Perceived Social Support TOTAL SCORE,,,,scipy not available
Number of children,Emotional Support - T Score,,,,scipy not available
Number of children,Informational Support - T Score,,,,scipy not available
Number of children,Instrumental Support - T Score,,,,scipy not available
Number of children,Perceived Social Support TOTAL T SCORE,,,,scipy not available
Number of children,Emotional Support - Rank,,,,chi2 test failed: 'NoneType' object has no attribute 'chi2_contingency'
