independent,dependent,test,statistic,pvalue,notes
Functional Impairment - Raw Score,Emotional Support - Raw Score,spearman,-0.17245800872346576,0.2687827867971684,
Functional Impairment - Raw Score,Informational Support - Raw Score,spearman,-0.3116314824699502,0.041925812303801865,
Functional Impairment - Raw Score,Instrumental Support - Raw Score,spearman,-0.20771986577237836,0.18135159644023977,
Functional Impairment - Raw Score,Emotional Support - T Score,spearman,-0.19859594066748693,0.20171979643099933,
Functional Impairment - Raw Score,Informational Support - T Score,spearman,-0.3172413079716049,0.0381841741256046,
Functional Impairment - Raw Score,Instrumental Support - T Score,spearman,-0.21034894690283396,0.17576536981943017,
Functional Impairment - Raw Score,Perceived Social Support Total T Score,spearman,-0.2526890052932903,0.10208706920347223,
Functional Impairment - Raw Score,Emotional Support - Rank,,,,Test not run: unsupported type combination.
Functional Impairment - Raw Score,Informational Support - Rank,,,,Test not run: unsupported type combination.
Functional Impairment - Raw Score,Instrumental Support - Rank,,,,Test not run: unsupported type combination.
Functional Impairment - Raw Score,Perceived Social Support TOTAL - Rank,,,,Test not run: unsupported type combination.
Functional Impairment - Raw Score,Power Self Concept - Real Self Concept Score,spearman,-0.2314563146683522,0.13533259027513964,
Functional Impairment - Raw Score,Power Self Concept - Ideal Self Concept score,spearman,-0.12830643520535062,0.4122353439802954,
Functional Impairment - Raw Score,Power Self Concept – Social Self Concept Score,spearman,-0.1517597675179289,0.33131271433069887,
Functional Impairment - Raw Score,Social Self Concept - Real Self Concept Score,spearman,-0.1806940343265327,0.24623211250843802,
Functional Impairment - Raw Score,Social Self Concept – Social Self Concept Score,spearman,-0.097626881657345,0.5334103455854657,
Functional Impairment - Raw Score,Ability Self Concept - Real Self Concept Score,spearman,-0.20481153669651098,0.18767768325350956,
Functional Impairment - Raw Score,Ability Self Concept - Ideal Self Concept Score,spearman,-0.15335148493835193,0.32620619198970924,
Functional Impairment - Raw Score,Ability Self Concept – Social Self Concept Score,spearman,-0.08136602869460163,0.6039756232492337,
Functional Impairment - Raw Score,Physical Self Concept - Real Self Concept Score,spearman,-0.22177295357725055,0.15292437789781033,
Functional Impairment - Raw Score,Physical Self Concept – Ideal Self Concept Score,spearman,-0.11954373547919851,0.44513805290969877,
Functional Impairment - Raw Score,Physical Self Concept – Social Self Concept Score,spearman,0.11047111258527531,0.4806705999283336,
Functional Impairment - Raw Score,Psychological Self Concept - Real Self Concept Score,spearman,-0.21072359634881188,0.17497949377036925,
Functional Impairment - Raw Score,Psychological Self Concept – Ideal Self Concept Score,spearman,-0.14770071445535338,0.3445587052318506,
Functional Impairment - Raw Score,Psychological Self Concept – Social Self Concept Score,spearman,-0.15622701739246533,0.31710658043125867,
