independent,dependent,test,statistic,pvalue,notes
Functional Impairment - Raw Score,Emotional Support - Raw Score,spearman,-0.14846403803707967,0.26177444179351583,
Functional Impairment - Raw Score,Informational Support - Raw Score,spearman,-0.09004207642774283,0.4976399408557386,
Functional Impairment - Raw Score,Instrumental Support - Raw Score,spearman,-0.23856891349367754,0.06881274695718086,
Functional Impairment - Raw Score,Emotional Support - T Score,spearman,-0.1439303814592648,0.27678476025743276,
Functional Impairment - Raw Score,Informational Support - T Score,spearman,-0.08063810583716123,0.5437643501058921,
Functional Impairment - Raw Score,Instrumental Support - T Score,spearman,-0.2349836949981757,0.07321272042178936,
Functional Impairment - Raw Score,Perceived Social Support Total T Score,spearman,-0.21075165779926341,0.10910453344613959,
Functional Impairment - Raw Score,Emotional Support - Rank,,,,Test not run: unsupported type combination.
Functional Impairment - Raw Score,Informational Support - Rank,,,,Test not run: unsupported type combination.
Functional Impairment - Raw Score,Instrumental Support - Rank,,,,Test not run: unsupported type combination.
Functional Impairment - Raw Score,Perceived Social Support TOTAL - Rank,,,,Test not run: unsupported type combination.
Functional Impairment - Raw Score,Power Self Concept - Real Self Concept Score,spearman,-0.23192783664635316,0.07713734596921973,
Functional Impairment - Raw Score,Power Self Concept - Ideal Self Concept score,spearman,-0.2541334380987325,0.05210221845715695,
Functional Impairment - Raw Score,Power Self Concept – Social Self Concept Score,spearman,-0.040850205206124174,0.7586979661756884,
Functional Impairment - Raw Score,Social Self Concept - Real Self Concept Score,spearman,-0.44356562526323956,0.0004337108306095348,
Functional Impairment - Raw Score,Social Self Concept – Social Self Concept Score,spearman,-0.22278256279794062,0.08988600337917232,
Functional Impairment - Raw Score,Ability Self Concept - Real Self Concept Score,spearman,-0.3233704614050961,0.012481544521155706,
Functional Impairment - Raw Score,Ability Self Concept - Ideal Self Concept Score,spearman,-0.24846668019135382,0.057755491404030364,
Functional Impairment - Raw Score,Ability Self Concept – Social Self Concept Score,spearman,-0.09666036631810289,0.4664394515230531,
Functional Impairment - Raw Score,Physical Self Concept - Real Self Concept Score,spearman,-0.3739094289610874,0.003531659882963538,
Functional Impairment - Raw Score,Physical Self Concept – Ideal Self Concept Score,spearman,-0.2048156194706195,0.11968309430331575,
Functional Impairment - Raw Score,Physical Self Concept – Social Self Concept Score,spearman,-0.09305792728858102,0.4832898106008411,
Functional Impairment - Raw Score,Psychological Self Concept - Real Self Concept Score,spearman,-0.42441005570132534,0.0008078556730025397,
Functional Impairment - Raw Score,Psychological Self Concept – Ideal Self Concept Score,spearman,-0.22583730033397215,0.0854560060601485,
Functional Impairment - Raw Score,Psychological Self Concept – Social Self Concept Score,spearman,-0.2094718460333205,0.11132210406085664,
Functional Impairment - Raw Score,Real Self Concept Total Score,spearman,-0.3971597285314755,0.0018421917845238688,
Functional Impairment - Raw Score,Ideal Self Concept Total Score,spearman,-0.23243821986088684,0.07647050035107977,
Functional Impairment - Raw Score,Social Self Concept Total Score,spearman,-0.1576306433300219,0.23312428011006378,
Functional Impairment - Raw Score,Ideal Self Concept Total Category,,,,Test not run: unsupported type combination.
Functional Impairment - Raw Score,Perceived Social Stress Score,spearman,0.35078312935389877,0.006451425466625407,
Functional Impairment - Raw Score,Perceived Social Stress Category,,,,Test not run: unsupported type combination.
